FoodCategoryCd,구분,레시피 번호,레시피명,
1,밥류,29,콩나물국밥(계란미포함),밥류_29_콩나물국밥(계란미포함)
5,국 및 탕류,30,홍합미역국,국 및 탕류_30_홍합미역국
5,국 및 탕류,33,계란두부탕,국 및 탕류_33_계란두부탕
5,국 및 탕류,34,꽁치국,국 및 탕류_34_꽁치국
3,면 및 만두류,39,비빔국수,면 및 만두류_39_비빔국수
3,면 및 만두류,41,잔치국수,면 및 만두류_41_잔치국수
3,면 및 만두류,46,어묵우동,면 및 만두류_46_어묵우동
5,국 및 탕류,48,새우당면국,국 및 탕류_48_새우당면국
5,국 및 탕류,49,매콤무콩나물국,국 및 탕류_49_매콤무콩나물국
3,면 및 만두류,51,칼국수,면 및 만두류_51_칼국수
6,찌개 및 전골류,52,가자미매운탕,찌개 및 전골류_52_가자미매운탕
6,찌개 및 전골류,53,새우찌개,찌개 및 전골류_53_새우찌개
6,찌개 및 전골류,54,생선내장탕,찌개 및 전골류_54_생선내장탕
6,찌개 및 전골류,55,숭어찌개,찌개 및 전골류_55_숭어찌개
6,찌개 및 전골류,56,쏘가리찌개,찌개 및 전골류_56_쏘가리찌개
6,찌개 및 전골류,57,쏨뱅이찌개,찌개 및 전골류_57_쏨뱅이찌개
6,찌개 및 전골류,58,아귀찌개,찌개 및 전골류_58_아귀찌개
6,찌개 및 전골류,59,알탕,찌개 및 전골류_59_알탕
6,찌개 및 전골류,60,양미리찌개,찌개 및 전골류_60_양미리찌개
6,찌개 및 전골류,61,오징어찌개,찌개 및 전골류_61_오징어찌개
6,찌개 및 전골류,62,우럭찌개,찌개 및 전골류_62_우럭찌개
6,찌개 및 전골류,65,장어찌개,찌개 및 전골류_65_장어찌개
6,찌개 및 전골류,67,전갱이찌개,찌개 및 전골류_67_전갱이찌개
6,찌개 및 전골류,68,전어찌개,찌개 및 전골류_68_전어찌개
6,찌개 및 전골류,69,정어리찌개,찌개 및 전골류_69_정어리찌개
6,찌개 및 전골류,70,조개찌개,찌개 및 전골류_70_조개찌개
6,찌개 및 전골류,72,쥐치찌개,찌개 및 전골류_72_쥐치찌개
6,찌개 및 전골류,73,참치찌개(캔),찌개 및 전골류_73_참치찌개(캔)
6,찌개 및 전골류,74,청어찌개,찌개 및 전골류_74_청어찌개
6,찌개 및 전골류,75,코다리찌개,찌개 및 전골류_75_코다리찌개
6,찌개 및 전골류,78,홍어찌개,찌개 및 전골류_78_홍어찌개
6,찌개 및 전골류,79,조기찌개,찌개 및 전골류_79_조기찌개
6,찌개 및 전골류,81,어묵김치찌개,찌개 및 전골류_81_어묵김치찌개
6,찌개 및 전골류,83,두부애호박새우젓찌개,찌개 및 전골류_83_두부애호박새우젓찌개
6,찌개 및 전골류,84,삼치찌개,찌개 및 전골류_84_삼치찌개
6,찌개 및 전골류,85,갈치찌개,찌개 및 전골류_85_갈치찌개
6,찌개 및 전골류,86,꽃게찌개,찌개 및 전골류_86_꽃게찌개
6,찌개 및 전골류,89,은대구찌개,찌개 및 전골류_89_은대구찌개
6,찌개 및 전골류,90,꽁치찌개,찌개 및 전골류_90_꽁치찌개
6,찌개 및 전골류,91,낙지찌개,찌개 및 전골류_91_낙지찌개
6,찌개 및 전골류,92,광어찌개,찌개 및 전골류_92_광어찌개
6,찌개 및 전골류,94,대합찌개,찌개 및 전골류_94_대합찌개
6,찌개 및 전골류,95,도루묵찌개,찌개 및 전골류_95_도루묵찌개
6,찌개 및 전골류,97,두부동태찌개,찌개 및 전골류_97_두부동태찌개
6,찌개 및 전골류,99,동태찌개,찌개 및 전골류_99_동태찌개
6,찌개 및 전골류,100,맛조개찌개,찌개 및 전골류_100_맛조개찌개
6,찌개 및 전골류,101,붕어찌개,찌개 및 전골류_101_붕어찌개
6,찌개 및 전골류,102,북어찌개,찌개 및 전골류_102_북어찌개
6,찌개 및 전골류,103,볼락찌개,찌개 및 전골류_103_볼락찌개
5,국 및 탕류,104,맑은복어탕,국 및 탕류_104_맑은복어탕
6,찌개 및 전골류,105,복어찌개,찌개 및 전골류_105_복어찌개
6,찌개 및 전골류,106,병어찌개,찌개 및 전골류_106_병어찌개
6,찌개 및 전골류,107,뱅어찌개,찌개 및 전골류_107_뱅어찌개
6,찌개 및 전골류,108,방어찌개,찌개 및 전골류_108_방어찌개
6,찌개 및 전골류,110,미더덕된장찌개,찌개 및 전골류_110_미더덕된장찌개
6,찌개 및 전골류,111,미꾸라지찌개,찌개 및 전골류_111_미꾸라지찌개
6,찌개 및 전골류,112,명태찌개,찌개 및 전골류_112_명태찌개
6,찌개 및 전골류,113,메기찌개,찌개 및 전골류_113_메기찌개
6,찌개 및 전골류,114,망둥어찌개,찌개 및 전골류_114_망둥어찌개
6,찌개 및 전골류,115,소고기두부찌개,찌개 및 전골류_115_소고기두부찌개
6,찌개 및 전골류,117,소고기오징어섞어찌개,찌개 및 전골류_117_소고기오징어섞어찌개
6,찌개 및 전골류,120,소고기감자찌개,찌개 및 전골류_120_소고기감자찌개
6,찌개 및 전골류,121,부대찌개,찌개 및 전골류_121_부대찌개
6,찌개 및 전골류,126,닭고기찌개,찌개 및 전골류_126_닭고기찌개
3,면 및 만두류,127,물냉면,면 및 만두류_127_물냉면
3,면 및 만두류,128,회냉면,면 및 만두류_128_회냉면
3,면 및 만두류,129,라면,면 및 만두류_129_라면
3,면 및 만두류,131,메밀비빔국수,면 및 만두류_131_메밀비빔국수
5,국 및 탕류,132,홍합무국,국 및 탕류_132_홍합무국
3,면 및 만두류,133,짬뽕,면 및 만두류_133_짬뽕
5,국 및 탕류,134,돼지고기해장국,국 및 탕류_134_돼지고기해장국
3,면 및 만두류,135,도토리비빔국수,면 및 만두류_135_도토리비빔국수
3,면 및 만두류,137,열무김치국수,면 및 만두류_137_열무김치국수
5,국 및 탕류,139,매콤소고기콩나물무국,국 및 탕류_139_매콤소고기콩나물무국
1,밥류,140,찰밥,밥류_140_찰밥
3,면 및 만두류,142,유부국수,면 및 만두류_142_유부국수
1,밥류,143,현미밥,밥류_143_현미밥
5,국 및 탕류,144,감자양파된장국,국 및 탕류_144_감자양파된장국
1,밥류,146,쌀밥,밥류_146_쌀밥
1,밥류,147,숭늉(밥포함),밥류_147_숭늉(밥포함)
5,국 및 탕류,149,표고버섯소고기무국,국 및 탕류_149_표고버섯소고기무국
5,국 및 탕류,150,미역국,국 및 탕류_150_미역국
3,면 및 만두류,151,수제비,면 및 만두류_151_수제비
5,국 및 탕류,152,애호박새우젓국,국 및 탕류_152_애호박새우젓국
1,밥류,153,오곡밥,밥류_153_오곡밥
5,국 및 탕류,154,고등어국,국 및 탕류_154_고등어국
3,면 및 만두류,155,비빔냉면,면 및 만두류_155_비빔냉면
1,밥류,156,콩밥(대두),밥류_156_콩밥(대두)
5,국 및 탕류,157,두부조개국,국 및 탕류_157_두부조개국
1,밥류,158,차조보리밥,밥류_158_차조보리밥
1,밥류,159,검정콩밥(흑태),밥류_159_검정콩밥(흑태)
3,면 및 만두류,160,짜장면,면 및 만두류_160_짜장면
5,국 및 탕류,161,조개냉이무국,국 및 탕류_161_조개냉이무국
1,밥류,162,차수수밥,밥류_162_차수수밥
1,밥류,165,율무밥,밥류_165_율무밥
5,국 및 탕류,166,햄김치국,국 및 탕류_166_햄김치국
5,국 및 탕류,167,배추조개된장국,국 및 탕류_167_배추조개된장국
1,밥류,170,녹두밥,밥류_170_녹두밥
3,면 및 만두류,173,쫄면,면 및 만두류_173_쫄면
5,국 및 탕류,174,소고기미역국,국 및 탕류_174_소고기미역국
1,밥류,175,보리팥밥,밥류_175_보리팥밥
6,찌개 및 전골류,176,청국장찌개,찌개 및 전골류_176_청국장찌개
5,국 및 탕류,177,두부콩나물김치국,국 및 탕류_177_두부콩나물김치국
1,밥류,178,쌀밥(찹쌀혼합),밥류_178_쌀밥(찹쌀혼합)
5,국 및 탕류,180,조개무근대국,국 및 탕류_180_조개무근대국
1,밥류,181,차수수보리밥,밥류_181_차수수보리밥
6,찌개 및 전골류,185,우거지된장찌개,찌개 및 전골류_185_우거지된장찌개
5,국 및 탕류,186,홍합국,국 및 탕류_186_홍합국
1,밥류,187,차조밥,밥류_187_차조밥
6,찌개 및 전골류,188,버섯찌개,찌개 및 전골류_188_버섯찌개
4,죽 및 스프류,189,소라죽,죽 및 스프류_189_소라죽
4,죽 및 스프류,192,콩죽,죽 및 스프류_192_콩죽
4,죽 및 스프류,193,수수죽,죽 및 스프류_193_수수죽
4,죽 및 스프류,194,잣죽,죽 및 스프류_194_잣죽
4,죽 및 스프류,196,소고기죽,죽 및 스프류_196_소고기죽
6,찌개 및 전골류,197,해물된장찌개,찌개 및 전골류_197_해물된장찌개
4,죽 및 스프류,198,전복죽,죽 및 스프류_198_전복죽
4,죽 및 스프류,199,채소죽,죽 및 스프류_199_채소죽
1,밥류,200,팥밥,밥류_200_팥밥
6,찌개 및 전골류,201,양배추된장찌개,찌개 및 전골류_201_양배추된장찌개
4,죽 및 스프류,203,새우죽,죽 및 스프류_203_새우죽
4,죽 및 스프류,206,버섯죽,죽 및 스프류_206_버섯죽
1,밥류,207,잡곡밥,밥류_207_잡곡밥
4,죽 및 스프류,208,감자죽,죽 및 스프류_208_감자죽
6,찌개 및 전골류,209,호박잎된장찌개,찌개 및 전골류_209_호박잎된장찌개
4,죽 및 스프류,210,호박죽,죽 및 스프류_210_호박죽
1,밥류,213,땅콩밥,밥류_213_땅콩밥
1,밥류,214,옥수수밥,밥류_214_옥수수밥
4,죽 및 스프류,215,닭죽,죽 및 스프류_215_닭죽
5,국 및 탕류,216,소고기유부무국,국 및 탕류_216_소고기유부무국
1,밥류,217,쑥쌀밥,밥류_217_쑥쌀밥
4,죽 및 스프류,218,팥죽,죽 및 스프류_218_팥죽
4,죽 및 스프류,220,들깨죽,죽 및 스프류_220_들깨죽
5,국 및 탕류,221,소고기토란국,국 및 탕류_221_소고기토란국
8,구이류,222,농어구이,구이류_222_농어구이
1,밥류,226,돼지고기콩나물밥,밥류_226_돼지고기콩나물밥
5,국 및 탕류,227,대구국,국 및 탕류_227_대구국
6,찌개 및 전골류,229,된장찌개,찌개 및 전골류_229_된장찌개
8,구이류,231,쏨뱅이구이,구이류_231_쏨뱅이구이
5,국 및 탕류,232,매콤소고기양배추국,국 및 탕류_232_매콤소고기양배추국
1,밥류,233,콩나물감자밥,밥류_233_콩나물감자밥
8,구이류,235,굴비구이,구이류_235_굴비구이
1,밥류,236,감자밥,밥류_236_감자밥
6,찌개 및 전골류,238,돼지고기된장찌개,찌개 및 전골류_238_돼지고기된장찌개
1,밥류,240,치즈채소밥,밥류_240_치즈채소밥
6,찌개 및 전골류,241,냉이달래된장찌개,찌개 및 전골류_241_냉이달래된장찌개
8,구이류,242,북어양념구이,구이류_242_북어양념구이
5,국 및 탕류,243,명태국,국 및 탕류_243_명태국
1,밥류,244,고구마밥,밥류_244_고구마밥
8,구이류,245,서대구이,구이류_245_서대구이
8,구이류,246,연어구이,구이류_246_연어구이
1,밥류,247,영양돌솥밥,밥류_247_영양돌솥밥
6,찌개 및 전골류,248,김치된장찌개,찌개 및 전골류_248_김치된장찌개
8,구이류,249,노가리양념구이,구이류_249_노가리양념구이
5,국 및 탕류,250,쑥갓어묵국,국 및 탕류_250_쑥갓어묵국
8,구이류,251,양미리구이,구이류_251_양미리구이
8,구이류,252,동태양념구이,구이류_252_동태양념구이
6,찌개 및 전골류,254,바지락달래고추장찌개,찌개 및 전골류_254_바지락달래고추장찌개
5,국 및 탕류,255,오징어두부무국,국 및 탕류_255_오징어두부무국
1,밥류,256,산채비빔밥,밥류_256_산채비빔밥
8,구이류,257,밴댕이구이,구이류_257_밴댕이구이
5,국 및 탕류,258,표고버섯부추계란국,국 및 탕류_258_표고버섯부추계란국
5,국 및 탕류,260,콩나물무채국,국 및 탕류_260_콩나물무채국
1,밥류,261,열무비빔밥,밥류_261_열무비빔밥
5,국 및 탕류,263,다슬기국,국 및 탕류_263_다슬기국
8,구이류,264,자반고등어구이,구이류_264_자반고등어구이
5,국 및 탕류,266,조개무콩나물국,국 및 탕류_266_조개무콩나물국
5,국 및 탕류,268,매콤굴무국,국 및 탕류_268_매콤굴무국
8,구이류,270,새치구이,구이류_270_새치구이
5,국 및 탕류,272,조개무쑥갓국,국 및 탕류_272_조개무쑥갓국
5,국 및 탕류,274,감자국,국 및 탕류_274_감자국
8,구이류,276,마른오징어구이,구이류_276_마른오징어구이
1,밥류,277,소고기볶음밥,밥류_277_소고기볶음밥
8,구이류,278,쥐포구이,구이류_278_쥐포구이
6,찌개 및 전골류,279,김치떡전골,찌개 및 전골류_279_김치떡전골
5,국 및 탕류,280,조개무국,국 및 탕류_280_조개무국
8,구이류,282,가오리구이,구이류_282_가오리구이
6,찌개 및 전골류,284,김치전골,찌개 및 전골류_284_김치전골
8,구이류,285,참치구이,구이류_285_참치구이
5,국 및 탕류,286,무국,국 및 탕류_286_무국
8,구이류,287,장어양념구이,구이류_287_장어양념구이
5,국 및 탕류,288,북어국,국 및 탕류_288_북어국
1,밥류,289,돼지고기비빔밥,밥류_289_돼지고기비빔밥
5,국 및 탕류,290,동태국,국 및 탕류_290_동태국
6,찌개 및 전골류,291,불낙전골,찌개 및 전골류_291_불낙전골
8,구이류,292,뱅어포양념구이,구이류_292_뱅어포양념구이
8,구이류,293,노래미구이,구이류_293_노래미구이
5,국 및 탕류,294,소고기양배추당면국,국 및 탕류_294_소고기양배추당면국
1,밥류,295,소고기계란볶음밥,밥류_295_소고기계란볶음밥
6,찌개 및 전골류,298,소고기샤브샤브,찌개 및 전골류_298_소고기샤브샤브
27,수조어육류,299,명태포,수조어육류_299_명태포
